ADELAIDE,ADELAIDE,6,757500,3,750000,0.99
ADELAIDE,NORTH ADELAIDE,4,992500,10,900500,9.27
ADELAIDE HILLS,ALDGATE,17,650000,13,715000,10.00
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,1,951000,,,
ADELAIDE HILLS,BELAIR,19,572500,13,577500,0.87
ADELAIDE HILLS,BRADBURY,1,505000,,,
ADELAIDE HILLS,BRIDGEWATER,12,410000,16,475000,15.85
ADELAIDE HILLS,CAREY GULLY,1,530000,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,5,565000,8,640500,13.36
ADELAIDE HILLS,CRAFERS WEST,3,577000,3,470150,18.52
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,605250,1,590000,2.52
ADELAIDE HILLS,HEATHFIELD,3,700000,4,470000,32.86
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,1,1000000,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,1,390000,,,
ADELAIDE HILLS,NORTON SUMMIT,,,,,
ADELAIDE HILLS,PICCADILLY,1,550000,,,
ADELAIDE HILLS,ROSTREVOR,19,502500,16,557500,10.95
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,16,625000,16,727500,16.40
ADELAIDE HILLS,STONYFELL,9,800000,3,880000,10.00
ADELAIDE HILLS,SUMMERTOWN,2,648750,2,525000,19.08
ADELAIDE HILLS,TERINGIE,,,,,
ADELAIDE HILLS,UPPER STURT,4,500000,2,472000,5.60
ADELAIDE HILLS,URAIDLA,3,415500,,,
ADELAIDE HILLS,WATERFALL GULLY,2,1130000,,,
ADELAIDE HILLS,WOODFORDE,1,840000,2,955000,13.69
BURNSIDE,AULDANA,3,1010000,3,825000,18.32
BURNSIDE,BEAUMONT,9,856000,6,1300000,51.87
BURNSIDE,BEULAH PARK,10,747500,6,610000,18.39
BURNSIDE,BURNSIDE,8,722500,10,875000,21.11
BURNSIDE,DULWICH,3,755000,3,897500,18.87
BURNSIDE,EASTWOOD,3,869410,1,660000,24.09
BURNSIDE,ERINDALE,3,850000,3,1037000,22.00
BURNSIDE,FREWVILLE,2,780000,3,708888,9.12
BURNSIDE,GLEN OSMOND,8,955000,3,1250000,30.89
BURNSIDE,GLENSIDE,2,905000,1,1120000,23.76
BURNSIDE,GLENUNGA,7,970000,5,1130000,16.49
