ADELAIDE,ADELAIDE,5,792.500,6,627.500,20.82
ADELAIDE,NORTH ADELAIDE,12,1.050.000,6,992.500,5.48
ADELAIDE HILLS,ALDGATE,16,710.000,14,695.000,2.11
ADELAIDE HILLS,ASHTON,,,1,415.000,
ADELAIDE HILLS,BASKET RANGE,,,1,470.000,
ADELAIDE HILLS,BELAIR,19,555.000,18,700.000,26.13
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,20,470.000,18,435.475,7.35
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,9,640.500,11,775.250,21.04
ADELAIDE HILLS,CRAFERS WEST,4,537.575,3,562.500,4.64
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,520.000,2,476.500,8.37
ADELAIDE HILLS,HEATHFIELD,4,470.000,,,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,1.000.000,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,1,380.000,2,458.750,20.72
ADELAIDE HILLS,NORTON SUMMIT,,,1,660.000,
ADELAIDE HILLS,PICCADILLY,,,,,
ADELAIDE HILLS,ROSTREVOR,25,548.000,29,580.000,5.84
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,18,785.000,17,780.000,0.64
ADELAIDE HILLS,STONYFELL,5,761.000,8,946.000,24.31
ADELAIDE HILLS,SUMMERTOWN,2,525.000,3,621.500,18.38
ADELAIDE HILLS,TERINGIE,,,1,779.500,
ADELAIDE HILLS,UPPER STURT,4,519.500,1,530.000,2.02
ADELAIDE HILLS,URAIDLA,2,518.000,2,585.250,12.98
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,3,855.000,1,860.000,0.58
BURNSIDE,AULDANA,4,862.500,2,759.000,12.00
BURNSIDE,BEAUMONT,7,1.300.000,10,1.050.000,19.23
BURNSIDE,BEULAH PARK,8,750.000,4,798.000,6.40
BURNSIDE,BURNSIDE,15,875.000,11,873.500,0.17
BURNSIDE,DULWICH,4,975.000,2,1.390.000,42.56
BURNSIDE,EASTWOOD,1,660.000,5,635.000,3.79
BURNSIDE,ERINDALE,4,1.156.000,4,1.145.000,0.95
BURNSIDE,FREWVILLE,3,708.888,3,900.000,26.96
BURNSIDE,GLEN OSMOND,3,1.250.000,6,1.007.500,19.40
BURNSIDE,GLENSIDE,1,1.120.000,4,858.250,23.37
BURNSIDE,GLENUNGA,7,910.000,11,1.000.000,9.89
BURNSIDE,HAZELWOOD PARK,10,986.500,10,828.125,16.05
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,3,1.175.000,5,733.000,37.62
BURNSIDE,KENSINGTON PARK,9,800.000,15,890.000,11.25
BURNSIDE,LEABROOK,3,990.000,5,1.670.000,68.69
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,8,740.000,7,850.000,14.86
BURNSIDE,MAGILL,28,605.000,35,645.000,6.61
BURNSIDE,MOUNT OSMOND,3,1.216.000,2,915.000,24.75
BURNSIDE,ROSE PARK,1,1.320.000,2,1.522.000,15.30
BURNSIDE,ROSSLYN PARK,3,890.000,5,960.500,7.92
BURNSIDE,SKYE,,,2,688.500,
BURNSIDE,ST GEORGES,11,795.000,9,915.000,15.09
BURNSIDE,STONYFELL,5,761.000,8,946.000,24.31
BURNSIDE,TOORAK GARDENS,10,1.230.000,6,1.320.000,7.32
BURNSIDE,TUSMORE,3,1.300.001,3,1.027.500,20.96
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,8,771.000,5,828.500,7.46
CAMPBELLTOWN,ATHELSTONE,31,575.000,25,532.000,7.48
CAMPBELLTOWN,CAMPBELLTOWN,28,541.000,24,528.000,2.40
CAMPBELLTOWN,HECTORVILLE,8,550.000,16,495.000,10.00
CAMPBELLTOWN,MAGILL,28,605.000,35,645.000,6.61
CAMPBELLTOWN,NEWTON,12,506.750,16,570.000,12.48
CAMPBELLTOWN,PARADISE,25,505.000,24,520.000,2.97
CAMPBELLTOWN,ROSTREVOR,25,548.000,29,580.000,5.84
CAMPBELLTOWN,TRANMERE,12,654.000,12,670.000,2.45
CHARLES STURT,ALBERT PARK,1,615.000,6,400.000,34.96
CHARLES STURT,ALLENBY GARDENS,9,572.000,4,725.000,26.75
CHARLES STURT,ATHOL PARK,5,380.500,7,320.000,15.90
CHARLES STURT,BEVERLEY,6,461.250,2,449.125,2.63
CHARLES STURT,BOWDEN,,,2,925.000,
CHARLES STURT,BROMPTON,10,469.000,9,557.550,18.88
