ADELAIDE,ADELAIDE,8,775.000,4,695.000,10.32
ADELAIDE,NORTH ADELAIDE,7,932.000,9,1.375.000,47.53
ADELAIDE HILLS,ALDGATE,18,660.000,12,735.000,11.36
ADELAIDE HILLS,ASHTON,1,875.000,,,
ADELAIDE HILLS,BASKET RANGE,,,1,488.000,
ADELAIDE HILLS,BELAIR,11,605.000,21,613.000,1.32
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,21,536.250,24,465.000,13.29
ADELAIDE HILLS,CAREY GULLY,,,1,562.500,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,11,850.000,8,720.000,15.29
ADELAIDE HILLS,CRAFERS WEST,7,526.000,4,636.000,20.91
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,4,671.000,,,
ADELAIDE HILLS,HEATHFIELD,4,630.500,3,565.000,10.39
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,1,565.000,,,
ADELAIDE HILLS,MARBLE HILL,,,1,460.000,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,2,615.500,3,591.500,3.90
ADELAIDE HILLS,NORTON SUMMIT,,,2,612.500,
ADELAIDE HILLS,PICCADILLY,1,460.000,1,615.000,33.70
ADELAIDE HILLS,ROSTREVOR,25,570.000,39,612.500,7.46
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,8,630.000,11,704.000,11.75
ADELAIDE HILLS,STONYFELL,6,818.000,2,825.000,0.86
ADELAIDE HILLS,SUMMERTOWN,3,590.000,1,550.000,6.78
