ADELAIDE,ADELAIDE,7,642500,9,785000,22.2
ADELAIDE,NORTH ADELAIDE,17,1250000,5,1189000,4.9
ADELAIDE HILLS,ALDGATE,16,680000,9,685000,0.7
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,370000,
ADELAIDE HILLS,BELAIR,18,532500,12,550500,3.4
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,11,485000,14,415000,14.4
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,547500,4,608000,11.1
ADELAIDE HILLS,CRAFERS WEST,5,640000,2,554500,13.4
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,593000,4,492500,16.9
ADELAIDE HILLS,HEATHFIELD,5,525000,2,675000,28.6
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,419000,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,3,361000,1,380000,5.3
ADELAIDE HILLS,NORTON SUMMIT,1,500000,,,
ADELAIDE HILLS,PICCADILLY,1,520000,,,
ADELAIDE HILLS,ROSTREVOR,28,444250,17,525000,18.2
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,15,585000,8,7277425,24.4
ADELAIDE HILLS,STONYFELL,6,960000,3,844500,12.0
ADELAIDE HILLS,SUMMERTOWN,3,728000,2,517500,28.9
ADELAIDE HILLS,TERINGIE,1,520000,2,588750,13.2
ADELAIDE HILLS,UPPER STURT,5,545000,2,423750,22.2
ADELAIDE HILLS,URAIDLA,3,380000,4,605500,59.3
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,5,610000,1,560000,8.2
BURNSIDE,AULDANA,3,945000,1,820000,13.2
BURNSIDE,BEAUMONT,11,757000,11,865000,14.3
BURNSIDE,BEULAH PARK,4,669000,3,577500,13.7
BURNSIDE,BURNSIDE,9,788000,4,970000,23.1
BURNSIDE,DULWICH,8,861500,2,960000,11.4
BURNSIDE,EASTWOOD,2,565000,1,420000,25.7
BURNSIDE,ERINDALE,6,1050000,1,1031000,1.8
BURNSIDE,FREWVILLE,2,540000,,,
BURNSIDE,GLEN OSMOND,6,775000,8,755500,2.5
BURNSIDE,GLENSIDE,8,689500,5,865000,25.5
