ADELAIDE,ADELAIDE,6,673750,5,861000,27.79
ADELAIDE,NORTH ADELAIDE,7,1100000,2,2195500,99.59
ADELAIDE HILLS,ALDGATE,18,782500,17,696000,11.05
ADELAIDE HILLS,ASHTON,1,415000,3,681200,64.14
ADELAIDE HILLS,BASKET RANGE,1,470000,,,
ADELAIDE HILLS,BELAIR,19,700000,14,585000,16.43
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,19,438950,18,490000,11.63
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,12,775000,11,835250,7.77
ADELAIDE HILLS,CRAFERS WEST,3,562500,5,555000,1.33
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,476500,,,
ADELAIDE HILLS,HEATHFIELD,,,3,700000,
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,1,490000,
ADELAIDE HILLS,MOUNT GEORGE,,,1,485000,
ADELAIDE HILLS,MYLOR,2,458750,,,
ADELAIDE HILLS,NORTON SUMMIT,2,640000,1,690000,7.81
ADELAIDE HILLS,PICCADILLY,,,2,794000,
ADELAIDE HILLS,ROSTREVOR,30,572500,32,612500,6.99
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,17,780000,7,690000,11.54
ADELAIDE HILLS,STONYFELL,8,905500,4,1102500,21.76
ADELAIDE HILLS,SUMMERTOWN,3,621500,4,550000,11.50
ADELAIDE HILLS,TERINGIE,1,779500,1,639000,18.02
ADELAIDE HILLS,UPPER STURT,1,530000,1,477500,9.91
ADELAIDE HILLS,URAIDLA,2,585250,1,680000,16.19
ADELAIDE HILLS,WATERFALL GULLY,,,2,688500,
ADELAIDE HILLS,WOODFORDE,1,860000,3,718500,16.45
BURNSIDE,AULDANA,2,759000,5,1200000,58.10
BURNSIDE,BEAUMONT,10,1050000,12,963000,8.29
BURNSIDE,BEULAH PARK,4,798000,5,757000,5.14
BURNSIDE,BURNSIDE,11,873500,10,769000,11.96
BURNSIDE,DULWICH,2,1390000,5,1288000,7.34
BURNSIDE,EASTWOOD,5,635000,1,527000,17.01
BURNSIDE,ERINDALE,4,1145000,4,1405000,22.71
