ADELAIDE,ADELAIDE,7,705.000,6,780.500,10.71
ADELAIDE,NORTH ADELAIDE,7,1.165.000,5,1.095.000,6.01
ADELAIDE HILLS,ALDGATE,10,698.500,10,675.000,3.36
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,18,623.000,14,570.000,8.51
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,12,490.500,18,448.000,8.66
ADELAIDE HILLS,CAREY GULLY,1,600.000,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,621.500,5,820.000,31.94
ADELAIDE HILLS,CRAFERS WEST,6,787.500,6,742.500,5.71
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,3,455.000,2,570.000,25.27
ADELAIDE HILLS,HEATHFIELD,1,554.000,3,710.000,28.16
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,1,580.000,
ADELAIDE HILLS,MARBLE HILL,1,570.000,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,1,510.000,2,645.000,26.47
ADELAIDE HILLS,NORTON SUMMIT,1,530.000,1,730.000,37.74
ADELAIDE HILLS,PICCADILLY,3,569.000,,,
ADELAIDE HILLS,ROSTREVOR,30,552.500,36,639.000,15.66
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,13,828.500,9,710.000,14.30
ADELAIDE HILLS,STONYFELL,8,890.000,5,1.075.000,20.79
ADELAIDE HILLS,SUMMERTOWN,1,550.000,3,513.000,6.73
ADELAIDE HILLS,TERINGIE,2,676.500,1,810.000,19.73
ADELAIDE HILLS,UPPER STURT,5,500.000,3,473.500,5.30
ADELAIDE HILLS,URAIDLA,,,4,450.000,
ADELAIDE HILLS,WATERFALL GULLY,,,1,1.065.000,
ADELAIDE HILLS,WOODFORDE,1,682.500,3,560.500,17.88
BURNSIDE,AULDANA,1,2.535.000,2,1.157.500,54.34
BURNSIDE,BEAUMONT,7,825.000,11,1.012.250,22.70
BURNSIDE,BEULAH PARK,6,805.875,7,685.000,15.00
BURNSIDE,BURNSIDE,8,694.000,3,825.000,18.88
BURNSIDE,DULWICH,7,1.000.000,4,1.443.000,44.30
BURNSIDE,EASTWOOD,2,539.000,2,746.000,38.40
BURNSIDE,ERINDALE,5,1.292.000,7,1.410.000,9.13
BURNSIDE,FREWVILLE,3,643.000,4,815.000,26.75
BURNSIDE,GLEN OSMOND,10,1.060.000,9,1.020.000,3.77
BURNSIDE,GLENSIDE,3,824.000,3,1.040.000,26.21
BURNSIDE,GLENUNGA,5,890.000,8,1.210.000,35.96
BURNSIDE,HAZELWOOD PARK,7,987.000,5,1.221.000,23.71
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,7,950.000,8,975.000,2.63
BURNSIDE,KENSINGTON PARK,16,995.000,11,981.500,1.36
BURNSIDE,LEABROOK,4,1.887.500,1,1.900.000,0.66
BURNSIDE,LEAWOOD GARDENS,1,816.000,1,590.500,27.63
BURNSIDE,LINDEN PARK,8,812.800,5,989.444,21.73
BURNSIDE,MAGILL,26,661.500,42,643.500,2.72
BURNSIDE,MOUNT OSMOND,1,670.000,1,701.000,4.63
BURNSIDE,ROSE PARK,4,1.649.250,1,1.146.000,30.51
BURNSIDE,ROSSLYN PARK,5,810.000,2,1.125.000,38.89
BURNSIDE,SKYE,1,1.220.000,3,802.000,34.26
BURNSIDE,ST GEORGES,6,967.500,3,1.930.000,99.48
BURNSIDE,STONYFELL,8,890.000,5,1.075.000,20.79
BURNSIDE,TOORAK GARDENS,9,1.257.500,6,1.507.750,19.90
BURNSIDE,TUSMORE,7,1.160.000,5,1.325.000,14.22
BURNSIDE,WATERFALL GULLY,,,1,1.065.000,
BURNSIDE,WATTLE PARK,8,830.000,2,879.750,5.99
CAMPBELLTOWN,ATHELSTONE,41,518.500,38,528.500,1.93
CAMPBELLTOWN,CAMPBELLTOWN,49,505.000,37,574.250,13.71
CAMPBELLTOWN,HECTORVILLE,12,625.000,16,567.500,9.20
CAMPBELLTOWN,MAGILL,26,661.500,42,643.500,2.72
CAMPBELLTOWN,NEWTON,12,485.100,17,540.000,11.32
CAMPBELLTOWN,PARADISE,24,500.000,28,557.500,11.50
CAMPBELLTOWN,ROSTREVOR,30,552.500,36,639.000,15.66
CAMPBELLTOWN,TRANMERE,13,700.000,13,670.000,4.29
CHARLES STURT,ALBERT PARK,5,475.000,8,440.000,7.37
CHARLES STURT,ALLENBY GARDENS,6,663.500,5,547.500,17.48
CHARLES STURT,ATHOL PARK,7,363.000,5,450.000,23.97
CHARLES STURT,BEVERLEY,4,496.000,7,471.000,5.04
CHARLES STURT,BOWDEN,,,1,487.400,
CHARLES STURT,BROMPTON,10,520.300,13,600.000,15.32
CHARLES STURT,CHELTENHAM,9,465.500,11,465.000,0.11
CHARLES STURT,CROYDON,2,650.000,1,600.000,7.69
CHARLES STURT,DEVON PARK,9,347.500,5,520.000,49.64
CHARLES STURT,FINDON,22,512.000,20,511.000,0.20
CHARLES STURT,FLINDERS PARK,20,573.000,22,620.000,8.20
CHARLES STURT,FULHAM GARDENS,13,650.000,12,731.000,12.46
CHARLES STURT,GRANGE,21,685.000,13,697.750,1.86
CHARLES STURT,HENDON,11,432.250,4,337.500,21.92
CHARLES STURT,HENLEY BEACH,23,835.000,18,828.000,0.84
CHARLES STURT,HENLEY BEACH SOUTH,13,845.000,12,842.500,0.30
CHARLES STURT,HINDMARSH,,,1,500.000,
CHARLES STURT,KIDMAN PARK,11,620.000,8,577.000,6.94
CHARLES STURT,KILKENNY,3,553.000,5,395.000,28.57
CHARLES STURT,OVINGHAM,3,580.000,3,611.500,5.43
CHARLES STURT,PENNINGTON,13,391.000,8,395.000,1.02
CHARLES STURT,RENOWN PARK,3,498.000,6,476.250,4.37
CHARLES STURT,RIDLEYTON,4,512.500,1,525.000,2.44
CHARLES STURT,ROSEWATER,13,347.500,13,386.250,11.15
CHARLES STURT,ROYAL PARK,19,382.500,10,408.500,6.80
CHARLES STURT,SEATON,39,486.500,32,505.000,3.80
CHARLES STURT,SEMAPHORE PARK,15,530.000,14,500.000,5.66
CHARLES STURT,ST CLAIR,8,740.000,8,670.000,9.46
CHARLES STURT,TENNYSON,5,1.050.000,1,1.182.000,12.57
CHARLES STURT,WELLAND,1,425.100,4,605.500,42.44
CHARLES STURT,WEST BEACH,11,540.000,8,712.500,31.94
CHARLES STURT,WEST CROYDON,15,534.500,18,555.000,3.84
CHARLES STURT,WEST HINDMARSH,3,435.000,5,591.500,35.98
CHARLES STURT,WEST LAKES,10,725.000,11,820.000,13.10
CHARLES STURT,WEST LAKES SHORE,12,674.000,14,650.500,3.49
CHARLES STURT,WOODVILLE,6,590.000,5,705.000,19.49
CHARLES STURT,WOODVILLE NORTH,6,384.500,4,382.500,0.52
CHARLES STURT,WOODVILLE PARK,2,625.000,7,590.000,5.60
CHARLES STURT,WOODVILLE SOUTH,18,507.000,15,537.500,6.02
CHARLES STURT,WOODVILLE WEST,19,447.500,10,486.750,8.77
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,6,327.500,19,345.000,5.34
GAWLER,EVANSTON GARDENS,8,254.000,3,247.000,2.76
GAWLER,EVANSTON PARK,20,372.500,15,311.000,16.51
GAWLER,EVANSTON SOUTH,,,3,410.000,
GAWLER,GAWLER,1,340.000,3,277.500,18.38
GAWLER,GAWLER EAST,25,385.000,27,355.475,7.67
GAWLER,GAWLER SOUTH,14,280.000,10,306.500,9.46
GAWLER,GAWLER WEST,4,257.500,4,272.000,5.63
GAWLER,HILLIER,,,,,
GAWLER,KUDLA,,,,,
GAWLER,REID,2,388.000,2,335.000,13.66
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,16,310.000,16,307.500,0.81
HOLDFAST BAY,BRIGHTON,12,787.000,6,714.000,9.28
HOLDFAST BAY,GLENELG,2,959.000,1,765.000,20.23
HOLDFAST BAY,GLENELG EAST,5,733.000,7,784.625,7.04
HOLDFAST BAY,GLENELG NORTH,24,635.000,19,705.000,11.02
HOLDFAST BAY,GLENELG SOUTH,3,830.000,5,1.082.000,30.36
HOLDFAST BAY,HOVE,5,712.000,12,655.000,8.01
HOLDFAST BAY,KINGSTON PARK,1,550.000,1,1.240.000,125.45
HOLDFAST BAY,NORTH BRIGHTON,5,585.000,9,790.000,35.04
HOLDFAST BAY,SEACLIFF,5,807.500,12,810.000,0.31
HOLDFAST BAY,SEACLIFF PARK,13,510.000,16,630.000,23.53
HOLDFAST BAY,SOMERTON PARK,18,765.555,18,805.000,5.15
HOLDFAST BAY,SOUTH BRIGHTON,6,670.000,13,650.000,2.99
MARION,ASCOT PARK,8,420.000,10,467.500,11.31
MARION,BEDFORD PARK,3,430.000,1,420.000,2.33
MARION,CLOVELLY PARK,7,470.000,8,432.000,8.09
MARION,DARLINGTON,7,440.000,7,460.000,4.55
MARION,DOVER GARDENS,9,500.000,20,498.000,0.40
MARION,EDWARDSTOWN,14,424.500,10,482.000,13.55
MARION,GLANDORE,6,611.111,6,580.000,5.09
MARION,GLENGOWRIE,15,645.000,19,602.500,6.59
MARION,HALLETT COVE,58,435.000,58,470.000,8.05
MARION,LONSDALE,,,,,
MARION,MARINO,8,645.000,6,622.500,3.49
MARION,MARION,17,525.000,20,510.000,2.86
MARION,MITCHELL PARK,12,460.000,24,442.500,3.80
MARION,MORPHETTVILLE,7,517.500,8,581.000,12.27
MARION,OAKLANDS PARK,11,479.000,11,490.000,2.30
